stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
000000000000000000ux,00000000000000000076,000000000000000000a2,00000000000000000079,314,274,,http://www.crtm.es,2,,,2
0000000000000000002r,0000000000000000004i,00000000000000000097,000000000000000000bq,101,61,,http://www.crtm.es,0,,,0
000000000000000000aa,0000000000000000004w,000000000000000000eu,000000000000000000es,617,577,,http://www.crtm.es,1,,,1
000000000000000000q3,0000000000000000000i,000000000000000000fc,000000000000000000bw,916,876,,http://www.crtm.es,2,,,2
000000000000000000ma,0000000000000000001o,0000000000000000006a,0000000000000000000t,618,578,,http://www.crtm.es,0,,,0
0000000000000000001f,0000000000000000005k,000000000000000000bl,000000000000000000c1,942,902,,http://www.crtm.es,1,,,1
000000000000000000pf,0000000000000000004b,000000000000000000al,0000000000000000004f,285,245,,http://www.crtm.es,2,,,2
00000000000000000098,00000000000000000002,00000000000000000079,0000000000000000002q,356,316,,http://www.crtm.es,0,,,0
0000000000000000001c,0000000000000000001g,000000000000000000bq,000000000000000000eq,184,144,,http://www.crtm.es,1,,,1
0000000000000000006e,00000000000000000066,000000000000000000es,0000000000000000002d,757,717,,http://www.crtm.es,2,,,2
0000000000000000001y,0000000000000000001x,000000000000000000bw,0000000000000000005c,520,480,,http://www.crtm.es,0,,,0
000000000000000000q0,0000000000000000006e,0000000000000000000t,000000000000000000ds,412,372,,http://www.crtm.es,1,,,1
0000000000000000007m,0000000000000000002m,000000000000000000c1,0000000000000000008k,631,591,,http://www.crtm.es,2,,,2
000000000000000000db,00000000000000000060,0000000000000000004f,0000000000000000009u,271,231,,http://www.crtm.es,0,,,0
000000000000000000ld,00000000000000000042,0000000000000000002q,0000000000000000003f,810,770,,http://www.crtm.es,1,,,1
000000000000000000wr,0000000000000000005t,000000000000000000eq,0000000000000000004r,889,849,,http://www.crtm.es,2,,,2
000000000000000000y5,0000000000000000000o,000000000000000000if,000000000000000000be,925,885,,http://www.crtm.es,0,,,0
000000000000000000dn,00000000000000000028,0000000000000000002d,000000000000000000fu,852,812,,http://www.crtm.es,1,,,1
000000000000000000fa,0000000000000000001q,0000000000000000005c,000000000000000000ew,972,932,,http://www.crtm.es,2,,,2
000000000000000000vh,0000000000000000003d,000000000000000000hs,0000000000000000002x,56,16,,http://www.crtm.es,0,,,0
000000000000000000xr,0000000000000000003b,000000000000000000ds,0000000000000000009q,456,416,,http://www.crtm.es,1,,,1
000000000000000000px,0000000000000000001v,0000000000000000008k,0000000000000000000j,766,726,,http://www.crtm.es,2,,,2
000000000000000000eh,0000000000000000002h,0000000000000000009u,000000000000000000dq,754,714,,http://www.crtm.es,0,,,0
000000000000000000jy,0000000000000000002k,0000000000000000003f,0000000000000000002r,442,402,,http://www.crtm.es,1,,,1
000000000000000000p2,0000000000000000003e,0000000000000000004r,000000000000000000fg,402,362,,http://www.crtm.es,2,,,2
00000000000000000075,00000000000000000041,000000000000000000be,00000000000000000096,371,331,,http://www.crtm.es,0,,,0
00000000000000000008,00000000000000000043,000000000000000000fu,000000000000000000e4,574,534,,http://www.crtm.es,1,,,1
000000000000000000d4,00000000000000000080,000000000000000000ja,0000000000000000002j,807,767,,http://www.crtm.es,2,,,2
000000000000000000tz,0000000000000000004t,000000000000000000ew,0000000000000000009o,811,771,,http://www.crtm.es,0,,,0
0000000000000000004c,0000000000000000000w,0000000000000000002x,00000000000000000047,915,875,,http://www.crtm.es,1,,,1
000000000000000000qx,0000000000000000001n,0000000000000000009q,0000000000000000004n,592,552,,http://www.crtm.es,2,,,2
000000000000000000ka,0000000000000000002n,0000000000000000000j,0000000000000000008i,266,226,,http://www.crtm.es,0,,,0
000000000000000000nw,0000000000000000001j,000000000000000000dq,0000000000000000000b,871,831,,http://www.crtm.es,1,,,1
000000000000000000jl,0000000000000000001m,0000000000000000002r,0000000000000000007y,457,417,,http://www.crtm.es,2,,,2
000000000000000000pc,0000000000000000005g,000000000000000000fg,000000000000000000ad,792,752,,http://www.crtm.es,0,,,0
000000000000000000at,0000000000000000001f,00000000000000000096,000000000000000000af,421,381,,http://www.crtm.es,1,,,1
000000000000000000aj,0000000000000000004q,000000000000000000e4,0000000000000000006p,865,825,,http://www.crtm.es,2,,,2
000000000000000000e0,0000000000000000007j,0000000000000000002j,0000000000000000005w,301,261,,http://www.crtm.es,0,,,0
000000000000000000kf,0000000000000000006u,0000000000000000009o,000000000000000000cz,772,732,,http://www.crtm.es,1,,,1
0000000000000000008q,0000000000000000003n,00000000000000000047,0000000000000000000y,910,870,,http://www.crtm.es,2,,,2
0000000000000000000q,0000000000000000001r,0000000000000000004n,00000000000000000074,462,422,,http://www.crtm.es,0,,,0
000000000000000000cb,0000000000000000005u,0000000000000000008i,000000000000000000gq,922,882,,http://www.crtm.es,1,,,1
000000000000000000rx,00000000000000000012,0000000000000000000b,000000000000000000ed,774,734,,http://www.crtm.es,2,,,2
000000000000000000tj,0000000000000000005i,0000000000000000007y,00000000000000000091,962,922,,http://www.crtm.es,0,,,0
000000000000000000e3,0000000000000000002v,000000000000000000ad,000000000000000000ai,805,765,,http://www.crtm.es,1,,,1
000000000000000000cc,00000000000000000007,000000000000000000h5,0000000000000000006z,759,719,,http://www.crtm.es,2,,,2
000000000000000000c3,00000000000000000052,000000000000000000af,000000000000000000d4,572,532,,http://www.crtm.es,0,,,0
000000000000000000cx,0000000000000000000m,000000000000000000il,0000000000000000004k,755,715,,http://www.crtm.es,1,,,1
00000000000000000048,00000000000000000069,0000000000000000006p,0000000000000000006c,468,428,,http://www.crtm.es,2,,,2
000000000000000000dj,0000000000000000001w,0000000000000000005w,000000000000000000gd,69,29,,http://www.crtm.es,0,,,0
000000000000000000cz,0000000000000000005f,000000000000000000cz,0000000000000000004z,794,754,,http://www.crtm.es,1,,,1
000000000000000000ui,0000000000000000000p,0000000000000000000y,00000000000000000016,473,433,,http://www.crtm.es,2,,,2
000000000000000000g5,0000000000000000004p,00000000000000000074,0000000000000000002b,199,159,,http://www.crtm.es,0,,,0
000000000000000000t3,0000000000000000006b,000000000000000000gq,0000000000000000003w,138,98,,http://www.crtm.es,1,,,1
0000000000000000007o,0000000000000000002c,000000000000000000ed,0000000000000000003o,570,530,,http://www.crtm.es,2,,,2
0000000000000000002c,0000000000000000004m,00000000000000000091,000000000000000000b9,703,663,,http://www.crtm.es,0,,,0
000000000000000000v9,0000000000000000007s,000000000000000000ai,000000000000000000c8,125,85,,http://www.crtm.es,1,,,1
00000000000000000022,00000000000000000061,0000000000000000006z,0000000000000000009h,232,192,,http://www.crtm.es,2,,,2
000000000000000000qh,0000000000000000007t,000000000000000000d4,000000000000000000cw,996,956,,http://www.crtm.es,0,,,0
000000000000000000kj,0000000000000000006r,0000000000000000004k,000000000000000000em,680,640,,http://www.crtm.es,1,,,1
000000000000000000ic,0000000000000000007c,0000000000000000006c,000000000000000000fj,536,496,,http://www.crtm.es,2,,,2
000000000000000000dq,00000000000000000017,000000000000000000gd,000000000000000000bc,828,788,,http://www.crtm.es,0,,,0
00000000000000000053,00000000000000000031,0000000000000000004z,000000000000000000ee,348,308,,http://www.crtm.es,1,,,1
000000000000000000ly,0000000000000000000r,000000000000000000h6,0000000000000000009r,985,945,,http://www.crtm.es,2,,,2
0000000000000000009g,0000000000000000002i,00000000000000000016,00000000000000000019,394,354,,http://www.crtm.es,0,,,0
0000000000000000001a,0000000000000000006d,0000000000000000002b,0000000000000000004h,163,123,,http://www.crtm.es,1,,,1
0000000000000000000e,00000000000000000003,0000000000000000003w,00000000000000000046,211,171,,http://www.crtm.es,2,,,2
000000000000000000my,00000000000000000026,000000000000000000h1,000000000000000000dw,450,410,,http://www.crtm.es,0,,,0
000000000000000000p1,0000000000000000000a,000000000000000000je,000000000000000000e2,610,570,,http://www.crtm.es,1,,,1
000000000000000000ox,00000000000000000078,000000000000000000hx,00000000000000000013,734,694,,http://www.crtm.es,2,,,2
0000000000000000007l,0000000000000000005e,000000000000000000he,00000000000000000005,931,891,,http://www.crtm.es,0,,,0
000000000000000000oc,0000000000000000002t,0000000000000000003o,0000000000000000003m,992,952,,http://www.crtm.es,1,,,1
000000000000000000rw,0000000000000000003x,000000000000000000b9,0000000000000000009t,576,536,,http://www.crtm.es,2,,,2
0000000000000000008w,00000000000000000034,000000000000000000c8,0000000000000000002p,859,819,,http://www.crtm.es,0,,,0
000000000000000000nk,00000000000000000011,0000000000000000009h,000000000000000000e0,145,105,,http://www.crtm.es,1,,,1
000000000000000000so,0000000000000000001z,000000000000000000cw,00000000000000000085,752,712,,http://www.crtm.es,2,,,2
000000000000000000ni,00000000000000000063,000000000000000000em,000000000000000000ff,390,350,,http://www.crtm.es,0,,,0
00000000000000000032,00000000000000000027,000000000000000000fj,0000000000000000008g,59,19,,http://www.crtm.es,1,,,1
0000000000000000006r,00000000000000000010,000000000000000000bc,000000000000000000ch,534,494,,http://www.crtm.es,2,,,2
000000000000000000ul,0000000000000000003c,000000000000000000ee,000000000000000000fz,776,736,,http://www.crtm.es,0,,,0
000000000000000000mn,0000000000000000002l,0000000000000000009r,0000000000000000006j,139,99,,http://www.crtm.es,1,,,1
000000000000000000uh,0000000000000000005n,00000000000000000019,0000000000000000001k,596,556,,http://www.crtm.es,2,,,2
00000000000000000097,0000000000000000006h,0000000000000000004h,000000000000000000cf,370,330,,http://www.crtm.es,0,,,0
000000000000000000nz,00000000000000000004,00000000000000000046,000000000000000000ej,548,508,,http://www.crtm.es,1,,,1
000000000000000000oi,0000000000000000002w,000000000000000000dw,000000000000000000dd,131,91,,http://www.crtm.es,2,,,2
000000000000000000xi,0000000000000000003u,000000000000000000h7,000000000000000000b2,388,348,,http://www.crtm.es,0,,,0
000000000000000000up,00000000000000000058,000000000000000000e2,00000000000000000076,191,151,,http://www.crtm.es,1,,,1
00000000000000000042,00000000000000000053,00000000000000000013,0000000000000000004i,939,899,,http://www.crtm.es,2,,,2
000000000000000000ei,0000000000000000003p,00000000000000000005,0000000000000000004w,207,167,,http://www.crtm.es,0,,,0
000000000000000000ll,0000000000000000002z,0000000000000000003m,000000000000000000f0,346,306,,http://www.crtm.es,1,,,1
000000000000000000fi,0000000000000000001c,0000000000000000009t,000000000000000000aq,933,893,,http://www.crtm.es,2,,,2
000000000000000000sw,0000000000000000006n,0000000000000000002p,000000000000000000a5,51,11,,http://www.crtm.es,0,,,0
0000000000000000004s,0000000000000000004g,000000000000000000e0,000000000000000000bd,326,286,,http://www.crtm.es,1,,,1
0000000000000000003x,0000000000000000003g,000000000000000000in,000000000000000000f4,413,373,,http://www.crtm.es,2,,,2
000000000000000000da,0000000000000000005h,00000000000000000085,0000000000000000000i,657,617,,http://www.crtm.es,0,,,0
000000000000000000oa,00000000000000000025,000000000000000000ff,000000000000000000d0,947,907,,http://www.crtm.es,1,,,1
0000000000000000007e,0000000000000000007v,0000000000000000008g,0000000000000000001o,415,375,,http://www.crtm.es,2,,,2
000000000000000000nb,0000000000000000006q,000000000000000000it,000000000000000000fb,709,669,,http://www.crtm.es,0,,,0
000000000000000000df,0000000000000000006m,000000000000000000ch,0000000000000000005k,281,241,,http://www.crtm.es,1,,,1
00000000000000000043,0000000000000000003q,000000000000000000fz,0000000000000000004b,252,212,,http://www.crtm.es,2,,,2
0000000000000000008f,0000000000000000004y,0000000000000000006j,000000000000000000dl,507,467,,http://www.crtm.es,0,,,0
0000000000000000005l,00000000000000000075,0000000000000000001k,000000000000000000gu,74,34,,http://www.crtm.es,1,,,1
000000000000000000ev,00000000000000000054,000000000000000000cf,00000000000000000002,924,884,,http://www.crtm.es,2,,,2
000000000000000000sp,0000000000000000007p,000000000000000000ej,0000000000000000001g,826,786,,http://www.crtm.es,0,,,0
000000000000000000p5,0000000000000000003v,000000000000000000dd,0000000000000000009j,296,256,,http://www.crtm.es,1,,,1
000000000000000000k7,0000000000000000003j,000000000000000000b2,0000000000000000008v,642,602,,http://www.crtm.es,2,,,2
0000000000000000002f,0000000000000000007n,00000000000000000076,00000000000000000066,557,517,,http://www.crtm.es,0,,,0
000000000000000000n1,0000000000000000002f,000000000000000000i6,0000000000000000001x,365,325,,http://www.crtm.es,1,,,1
0000000000000000002l,0000000000000000006s,0000000000000000004i,0000000000000000006e,418,378,,http://www.crtm.es,2,,,2
000000000000000000m0,00000000000000000073,0000000000000000004w,0000000000000000002m,787,747,,http://www.crtm.es,0,,,0
000000000000000000w3,0000000000000000001h,000000000000000000f0,000000000000000000bu,291,251,,http://www.crtm.es,1,,,1
000000000000000000fj,00000000000000000065,000000000000000000aq,000000000000000000bf,512,472,,http://www.crtm.es,2,,,2
000000000000000000r9,0000000000000000001s,000000000000000000h2,000000000000000000gk,204,164,,http://www.crtm.es,0,,,0
000000000000000000qc,0000000000000000003a,000000000000000000a5,000000000000000000a1,268,228,,http://www.crtm.es,1,,,1
000000000000000000bc,00000000000000000015,000000000000000000bd,0000000000000000008h,923,883,,http://www.crtm.es,2,,,2
000000000000000000gj,0000000000000000001l,000000000000000000f4,0000000000000000009k,800,760,,http://www.crtm.es,0,,,0
00000000000000000069,0000000000000000005a,0000000000000000000i,000000000000000000d6,629,589,,http://www.crtm.es,1,,,1
000000000000000000ik,0000000000000000007l,000000000000000000d0,00000000000000000060,219,179,,http://www.crtm.es,2,,,2
000000000000000000ao,0000000000000000000z,0000000000000000001o,000000000000000000fv,658,618,,http://www.crtm.es,0,,,0
000000000000000000a9,0000000000000000000x,000000000000000000fb,000000000000000000fi,973,933,,http://www.crtm.es,1,,,1
000000000000000000fk,00000000000000000032,0000000000000000005k,000000000000000000am,82,42,,http://www.crtm.es,2,,,2
000000000000000000pd,00000000000000000038,0000000000000000004b,00000000000000000042,123,83,,http://www.crtm.es,0,,,0
0000000000000000003o,0000000000000000002u,000000000000000000dl,0000000000000000005t,180,140,,http://www.crtm.es,1,,,1
000000000000000000tl,0000000000000000003h,000000000000000000gu,000000000000000000at,653,613,,http://www.crtm.es,2,,,2
000000000000000000ys,00000000000000000067,000000000000000000h9,0000000000000000000o,843,803,,http://www.crtm.es,0,,,0
000000000000000000r6,0000000000000000007a,00000000000000000002,00000000000000000028,738,698,,http://www.crtm.es,1,,,1
0000000000000000004e,0000000000000000003i,0000000000000000001g,0000000000000000001q,685,645,,http://www.crtm.es,2,,,2
0000000000000000001w,0000000000000000006x,0000000000000000009j,000000000000000000gr,666,626,,http://www.crtm.es,0,,,0
000000000000000000oe,00000000000000000024,000000000000000000io,000000000000000000f3,172,132,,http://www.crtm.es,1,,,1
000000000000000000na,0000000000000000005q,0000000000000000008v,0000000000000000009f,445,405,,http://www.crtm.es,2,,,2
000000000000000000xw,0000000000000000000e,00000000000000000066,0000000000000000003d,480,440,,http://www.crtm.es,0,,,0
000000000000000000h2,0000000000000000005z,0000000000000000001x,0000000000000000003b,381,341,,http://www.crtm.es,1,,,1
0000000000000000001s,00000000000000000018,0000000000000000006e,0000000000000000001v,834,794,,http://www.crtm.es,2,,,2
000000000000000000yo,0000000000000000003r,0000000000000000002m,0000000000000000002h,504,464,,http://www.crtm.es,0,,,0
000000000000000000yq,0000000000000000003s,000000000000000000bu,00000000000000000088,914,874,,http://www.crtm.es,1,,,1
000000000000000000rh,00000000000000000039,000000000000000000bf,0000000000000000008q,566,526,,http://www.crtm.es,2,,,2
0000000000000000008d,0000000000000000000f,000000000000000000gk,0000000000000000002k,599,559,,http://www.crtm.es,0,,,0
0000000000000000000m,0000000000000000001e,000000000000000000a1,000000000000000000ae,448,408,,http://www.crtm.es,1,,,1
000000000000000000o2,0000000000000000000d,0000000000000000008h,000000000000000000fy,558,518,,http://www.crtm.es,2,,,2
000000000000000000tf,0000000000000000004o,0000000000000000009k,000000000000000000fs,391,351,,http://www.crtm.es,0,,,0
000000000000000000bx,00000000000000000055,000000000000000000d6,000000000000000000f8,85,45,,http://www.crtm.es,1,,,1
0000000000000000004j,00000000000000000045,00000000000000000060,0000000000000000003e,201,161,,http://www.crtm.es,2,,,2
000000000000000000xa,0000000000000000002e,000000000000000000fv,00000000000000000041,190,150,,http://www.crtm.es,0,,,0
000000000000000000hl,00000000000000000062,000000000000000000fi,00000000000000000043,913,873,,http://www.crtm.es,1,,,1
000000000000000000yk,0000000000000000001i,000000000000000000am,000000000000000000dm,540,500,,http://www.crtm.es,2,,,2
00000000000000000065,00000000000000000050,00000000000000000042,00000000000000000080,932,892,,http://www.crtm.es,0,,,0
000000000000000000hu,00000000000000000006,0000000000000000005t,000000000000000000bt,659,619,,http://www.crtm.es,1,,,1
000000000000000000u6,0000000000000000004c,000000000000000000at,0000000000000000004t,758,959,,http://www.crtm.es,2,,,2
000000000000000000wb,0000000000000000000k,0000000000000000000o,000000000000000000cu,546,718,,http://www.crtm.es,0,,,0
0000000000000000005s,0000000000000000004j,000000000000000000hc,000000000000000000er,79,506,,http://www.crtm.es,1,,,1
0000000000000000007a,0000000000000000005m,00000000000000000028,0000000000000000000w,45,39,,http://www.crtm.es,2,,,2
000000000000000000q4,0000000000000000005r,0000000000000000001q,000000000000000000cb,170,5,,http://www.crtm.es,0,,,0
000000000000000000xs,0000000000000000007u,000000000000000000gr,000000000000000000bn,393,130,,http://www.crtm.es,1,,,1
000000000000000000xx,0000000000000000007h,000000000000000000f3,0000000000000000001n,137,353,,http://www.crtm.es,2,,,2
000000000000000000ju,00000000000000000068,000000000000000000hy,000000000000000000el,544,97,,http://www.crtm.es,0,,,0
0000000000000000007i,00000000000000000022,000000000000000000i4,000000000000000000et,711,504,,http://www.crtm.es,1,,,1
000000000000000000oj,0000000000000000000n,0000000000000000009f,0000000000000000002n,333,671,,http://www.crtm.es,2,,,2
000000000000000000bm,0000000000000000003y,0000000000000000003d,000000000000000000ck,595,293,,http://www.crtm.es,0,,,0
000000000000000000wh,0000000000000000003t,0000000000000000003b,000000000000000000dr,344,555,,http://www.crtm.es,1,,,1
0000000000000000002z,00000000000000000081,0000000000000000001v,000000000000000000ei,881,304,,http://www.crtm.es,2,,,2
00000000000000000051,0000000000000000004e,0000000000000000002h,000000000000000000cn,717,841,,http://www.crtm.es,0,,,0
000000000000000000io,00000000000000000020,00000000000000000088,000000000000000000cr,489,677,,http://www.crtm.es,1,,,1
000000000000000000fx,0000000000000000006o,000000000000000000hl,000000000000000000eh,615,449,,http://www.crtm.es,2,,,2
000000000000000000r8,00000000000000000056,0000000000000000008q,000000000000000000bx,864,575,,http://www.crtm.es,0,,,0
000000000000000000hh,00000000000000000008,0000000000000000002k,0000000000000000001j,275,824,,http://www.crtm.es,1,,,1
000000000000000000l3,0000000000000000005s,000000000000000000ae,000000000000000000bp,96,235,,http://www.crtm.es,2,,,2
0000000000000000006f,0000000000000000005l,000000000000000000hv,0000000000000000001m,487,56,,http://www.crtm.es,0,,,0
000000000000000000is,00000000000000000051,000000000000000000fy,000000000000000000dv,563,447,,http://www.crtm.es,1,,,1
000000000000000000gg,0000000000000000007f,000000000000000000fs,0000000000000000008u,521,523,,http://www.crtm.es,2,,,2
000000000000000000g4,0000000000000000007o,000000000000000000hu,0000000000000000005g,438,481,,http://www.crtm.es,0,,,0
000000000000000000h8,00000000000000000035,000000000000000000f8,0000000000000000001f,298,398,,http://www.crtm.es,1,,,1
000000000000000000av,0000000000000000005v,0000000000000000003e,0000000000000000008t,694,258,,http://www.crtm.es,2,,,2
0000000000000000003b,0000000000000000007e,00000000000000000041,0000000000000000004q,900,654,,http://www.crtm.es,0,,,0
00000000000000000019,0000000000000000005y,00000000000000000043,000000000000000000ao,202,860,,http://www.crtm.es,1,,,1
000000000000000000a8,0000000000000000001d,000000000000000000dm,0000000000000000007j,216,162,,http://www.crtm.es,2,,,2
00000000000000000034,0000000000000000007d,000000000000000000hk,000000000000000000fr,580,176,,http://www.crtm.es,0,,,0
000000000000000000hj,0000000000000000002o,00000000000000000080,0000000000000000006u,963,540,,http://www.crtm.es,1,,,1
000000000000000000cq,0000000000000000006w,000000000000000000bt,0000000000000000009i,831,923,,http://www.crtm.es,2,,,2
0000000000000000005x,0000000000000000004a,0000000000000000004t,0000000000000000003n,426,791,,http://www.crtm.es,0,,,0
000000000000000000pz,0000000000000000004x,000000000000000000cu,000000000000000000aj,995,386,,http://www.crtm.es,1,,,1
000000000000000000og,0000000000000000005p,000000000000000000er,0000000000000000001r,654,955,,http://www.crtm.es,2,,,2
000000000000000000vm,0000000000000000007x,000000000000000000j5,0000000000000000005u,869,614,,http://www.crtm.es,0,,,0
000000000000000000oh,0000000000000000007g,000000000000000000h3,000000000000000000bj,405,829,,http://www.crtm.es,1,,,1
