route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
0000000000000000000b,00000000000000000005,00000000000000000002,00000000000000000003,0000000000000000000l,1,00000000000000000002,00000000000000000007,1
00000000000000000008,00000000000000000003,0000000000000000001g,0000000000000000000l,0000000000000000000j,0,0000000000000000001g,0000000000000000000o,1
0000000000000000000d,00000000000000000001,0000000000000000001x,0000000000000000000j,0000000000000000000m,1,0000000000000000001x,0000000000000000000k,1
00000000000000000004,00000000000000000002,0000000000000000002m,0000000000000000000m,0000000000000000000n,0,0000000000000000002m,0000000000000000000c,1
00000000000000000009,00000000000000000004,0000000000000000000o,0000000000000000000n,0000000000000000000g,1,0000000000000000000o,0000000000000000000r,1
00000000000000000002,00000000000000000005,00000000000000000028,0000000000000000000g,0000000000000000000b,0,00000000000000000028,0000000000000000000a,1
00000000000000000001,00000000000000000003,0000000000000000001q,0000000000000000000b,00000000000000000008,1,0000000000000000001q,00000000000000000006,1
00000000000000000007,00000000000000000001,0000000000000000003d,00000000000000000008,0000000000000000000h,0,0000000000000000003d,00000000000000000005,1
0000000000000000000c,00000000000000000002,0000000000000000003b,0000000000000000000h,0000000000000000000i,1,0000000000000000003b,00000000000000000003,1
0000000000000000000a,00000000000000000004,0000000000000000001v,0000000000000000000i,0000000000000000000d,0,0000000000000000001v,0000000000000000000l,1
00000000000000000006,00000000000000000005,0000000000000000002h,0000000000000000000p,0000000000000000000f,1,0000000000000000002h,0000000000000000000j,1
00000000000000000005,00000000000000000003,0000000000000000002k,0000000000000000000d,00000000000000000004,0,0000000000000000002k,0000000000000000000w,1
00000000000000000003,00000000000000000001,0000000000000000003e,0000000000000000000f,00000000000000000009,1,0000000000000000003e,0000000000000000000m,1
0000000000000000000b,00000000000000000002,0000000000000000000w,00000000000000000004,00000000000000000002,0,0000000000000000000w,0000000000000000000n,1
00000000000000000008,00000000000000000004,0000000000000000001n,00000000000000000009,0000000000000000000e,1,0000000000000000001n,0000000000000000000g,1
0000000000000000000d,00000000000000000005,0000000000000000002n,00000000000000000002,00000000000000000001,0,0000000000000000002n,0000000000000000000b,1
00000000000000000004,00000000000000000003,0000000000000000001j,0000000000000000000e,00000000000000000007,1,0000000000000000001j,0000000000000000000q,1
00000000000000000009,00000000000000000001,0000000000000000001m,00000000000000000001,0000000000000000000o,0,0000000000000000001m,0000000000000000000u,1
00000000000000000002,00000000000000000002,0000000000000000001f,00000000000000000007,0000000000000000000k,1,0000000000000000001f,00000000000000000008,1
00000000000000000001,00000000000000000004,0000000000000000001r,0000000000000000000o,0000000000000000000c,0,0000000000000000001r,0000000000000000000h,1
00000000000000000007,00000000000000000005,00000000000000000012,0000000000000000000k,0000000000000000000a,1,00000000000000000012,0000000000000000000i,1
0000000000000000000c,00000000000000000003,0000000000000000002v,0000000000000000000c,00000000000000000006,0,0000000000000000002v,0000000000000000000p,1
0000000000000000000a,00000000000000000001,00000000000000000007,0000000000000000000a,00000000000000000005,1,00000000000000000007,0000000000000000000d,1
00000000000000000006,00000000000000000002,0000000000000000000m,00000000000000000006,00000000000000000003,0,0000000000000000000m,0000000000000000000v,1
00000000000000000005,00000000000000000004,0000000000000000001w,00000000000000000005,0000000000000000000l,1,0000000000000000001w,0000000000000000000f,1
00000000000000000003,00000000000000000005,0000000000000000000p,00000000000000000003,0000000000000000000j,0,0000000000000000000p,00000000000000000004,1
0000000000000000000b,00000000000000000003,0000000000000000002c,0000000000000000000l,0000000000000000000m,1,0000000000000000002c,0000000000000000000s,1
00000000000000000008,00000000000000000001,00000000000000000017,0000000000000000000j,0000000000000000000n,0,00000000000000000017,00000000000000000009,1
0000000000000000000d,00000000000000000002,00000000000000000031,0000000000000000000m,0000000000000000000g,1,00000000000000000031,00000000000000000002,1
00000000000000000004,00000000000000000004,0000000000000000000r,0000000000000000000n,0000000000000000000b,0,0000000000000000000r,0000000000000000000e,1
00000000000000000009,00000000000000000005,0000000000000000002i,0000000000000000000g,00000000000000000008,1,0000000000000000002i,0000000000000000000t,1
00000000000000000002,00000000000000000003,00000000000000000003,0000000000000000000b,0000000000000000000h,0,00000000000000000003,00000000000000000001,1
00000000000000000001,00000000000000000001,00000000000000000026,00000000000000000008,0000000000000000000i,1,00000000000000000026,00000000000000000007,1
00000000000000000007,00000000000000000002,0000000000000000000a,0000000000000000000h,0000000000000000000d,0,0000000000000000000a,0000000000000000000o,1
0000000000000000000c,00000000000000000004,0000000000000000002t,0000000000000000000i,0000000000000000000f,1,0000000000000000002t,0000000000000000000k,1
0000000000000000000a,00000000000000000005,00000000000000000034,0000000000000000000p,00000000000000000004,0,00000000000000000034,0000000000000000000c,1
00000000000000000006,00000000000000000003,00000000000000000011,0000000000000000000d,00000000000000000009,1,00000000000000000011,0000000000000000000r,1
00000000000000000005,00000000000000000001,0000000000000000001z,0000000000000000000f,00000000000000000002,0,0000000000000000001z,0000000000000000000a,1
00000000000000000003,00000000000000000002,00000000000000000027,00000000000000000004,0000000000000000000e,1,00000000000000000027,00000000000000000006,1
0000000000000000000b,00000000000000000004,00000000000000000010,00000000000000000009,00000000000000000001,0,00000000000000000010,00000000000000000005,1
00000000000000000008,00000000000000000005,0000000000000000003c,00000000000000000002,00000000000000000007,1,0000000000000000003c,00000000000000000003,1
0000000000000000000d,00000000000000000003,0000000000000000002l,0000000000000000000e,0000000000000000000o,0,0000000000000000002l,0000000000000000000l,1
00000000000000000004,00000000000000000001,00000000000000000004,00000000000000000001,0000000000000000000k,1,00000000000000000004,0000000000000000000j,1
00000000000000000009,00000000000000000002,0000000000000000002w,00000000000000000007,0000000000000000000c,0,0000000000000000002w,0000000000000000000w,1
00000000000000000002,00000000000000000004,0000000000000000002z,0000000000000000000o,0000000000000000000a,1,0000000000000000002z,0000000000000000000m,1
00000000000000000001,00000000000000000005,0000000000000000001c,0000000000000000000k,00000000000000000006,0,0000000000000000001c,0000000000000000000n,1
00000000000000000007,00000000000000000003,0000000000000000003g,0000000000000000000c,00000000000000000005,1,0000000000000000003g,0000000000000000000g,1
0000000000000000000c,00000000000000000001,00000000000000000025,0000000000000000000a,00000000000000000003,0,00000000000000000025,0000000000000000000b,1
0000000000000000000a,00000000000000000002,0000000000000000003j,00000000000000000006,0000000000000000000l,1,0000000000000000003j,0000000000000000000q,1
00000000000000000006,00000000000000000004,0000000000000000002f,00000000000000000005,0000000000000000000j,0,0000000000000000002f,0000000000000000000u,1
00000000000000000005,00000000000000000005,0000000000000000001h,00000000000000000003,0000000000000000000m,1,0000000000000000001h,00000000000000000008,1
00000000000000000003,00000000000000000003,0000000000000000001s,0000000000000000000l,0000000000000000000n,0,0000000000000000001s,0000000000000000000h,1
0000000000000000000b,00000000000000000001,0000000000000000003a,0000000000000000000j,0000000000000000000g,1,0000000000000000003a,0000000000000000000i,1
00000000000000000008,00000000000000000002,00000000000000000015,0000000000000000000m,0000000000000000000b,0,00000000000000000015,0000000000000000000p,1
0000000000000000000d,00000000000000000004,0000000000000000001l,0000000000000000000n,00000000000000000008,1,0000000000000000001l,0000000000000000000d,1
00000000000000000004,00000000000000000005,0000000000000000000z,0000000000000000000g,0000000000000000000h,0,0000000000000000000z,0000000000000000000v,1
00000000000000000009,00000000000000000003,0000000000000000000x,0000000000000000000b,0000000000000000000i,1,0000000000000000000x,0000000000000000000f,1
00000000000000000002,00000000000000000001,00000000000000000032,00000000000000000008,0000000000000000000d,0,00000000000000000032,00000000000000000004,1
00000000000000000001,00000000000000000002,00000000000000000038,0000000000000000000h,0000000000000000000f,1,00000000000000000038,0000000000000000000s,1
00000000000000000007,00000000000000000004,0000000000000000002u,0000000000000000000i,00000000000000000004,0,0000000000000000002u,00000000000000000009,1
0000000000000000000c,00000000000000000005,0000000000000000003h,0000000000000000000p,00000000000000000009,1,0000000000000000003h,00000000000000000002,1
0000000000000000000a,00000000000000000003,0000000000000000003i,0000000000000000000d,00000000000000000002,0,0000000000000000003i,0000000000000000000e,1
00000000000000000006,00000000000000000001,00000000000000000024,0000000000000000000f,0000000000000000000e,1,00000000000000000024,0000000000000000000t,1
00000000000000000005,00000000000000000002,0000000000000000000e,00000000000000000004,00000000000000000001,0,0000000000000000000e,00000000000000000001,1
00000000000000000003,00000000000000000004,00000000000000000018,00000000000000000009,00000000000000000007,1,00000000000000000018,00000000000000000007,1
0000000000000000000b,00000000000000000005,00000000000000000039,00000000000000000002,0000000000000000000o,0,00000000000000000039,0000000000000000000o,1
00000000000000000008,00000000000000000003,0000000000000000000f,0000000000000000000e,0000000000000000000k,1,0000000000000000000f,0000000000000000000k,1
0000000000000000000d,00000000000000000001,0000000000000000001e,00000000000000000001,0000000000000000000c,0,0000000000000000001e,0000000000000000000c,1
00000000000000000004,00000000000000000002,0000000000000000000d,00000000000000000007,0000000000000000000a,1,0000000000000000000d,0000000000000000000r,1
00000000000000000009,00000000000000000004,0000000000000000002e,0000000000000000000o,00000000000000000006,0,0000000000000000002e,0000000000000000000a,1
00000000000000000002,00000000000000000005,0000000000000000001i,0000000000000000000k,00000000000000000005,1,0000000000000000001i,00000000000000000006,1
00000000000000000001,00000000000000000003,00000000000000000006,0000000000000000000c,00000000000000000003,0,00000000000000000006,00000000000000000005,1
00000000000000000007,00000000000000000001,0000000000000000000k,0000000000000000000a,0000000000000000000l,1,0000000000000000000k,00000000000000000003,1
0000000000000000000c,00000000000000000002,00000000000000000022,00000000000000000006,0000000000000000000j,0,00000000000000000022,0000000000000000000l,1
0000000000000000000a,00000000000000000004,0000000000000000000n,00000000000000000005,0000000000000000000m,1,0000000000000000000n,0000000000000000000j,1
00000000000000000006,00000000000000000005,00000000000000000020,00000000000000000003,0000000000000000000n,0,00000000000000000020,0000000000000000000w,1
00000000000000000005,00000000000000000003,00000000000000000008,0000000000000000000l,0000000000000000000g,1,00000000000000000008,0000000000000000000m,1
00000000000000000003,00000000000000000001,00000000000000000035,0000000000000000000j,0000000000000000000b,0,00000000000000000035,0000000000000000000n,1
0000000000000000000b,00000000000000000002,0000000000000000001d,0000000000000000000m,00000000000000000008,1,0000000000000000001d,0000000000000000000g,1
00000000000000000008,00000000000000000004,0000000000000000002o,0000000000000000000n,0000000000000000000h,0,0000000000000000002o,0000000000000000000b,1
0000000000000000000d,00000000000000000005,0000000000000000002y,0000000000000000000g,0000000000000000000i,1,0000000000000000002y,0000000000000000000q,1
00000000000000000004,00000000000000000003,0000000000000000000h,0000000000000000000b,0000000000000000000d,0,0000000000000000000h,0000000000000000000u,1
00000000000000000009,00000000000000000001,0000000000000000003k,00000000000000000008,0000000000000000000f,1,0000000000000000003k,00000000000000000008,1
00000000000000000002,00000000000000000002,0000000000000000002a,0000000000000000000h,00000000000000000004,0,0000000000000000002a,0000000000000000000h,1
00000000000000000001,00000000000000000004,00000000000000000036,0000000000000000000i,00000000000000000009,1,00000000000000000036,0000000000000000000i,1
00000000000000000007,00000000000000000005,0000000000000000000l,0000000000000000000p,00000000000000000002,0,0000000000000000000l,0000000000000000000p,1
0000000000000000000c,00000000000000000003,0000000000000000001y,0000000000000000000d,0000000000000000000e,1,0000000000000000001y,0000000000000000000d,1
0000000000000000000a,00000000000000000001,0000000000000000001u,0000000000000000000f,00000000000000000001,0,0000000000000000001u,0000000000000000000v,1
00000000000000000006,00000000000000000002,00000000000000000023,00000000000000000004,00000000000000000007,1,00000000000000000023,0000000000000000000f,1
00000000000000000005,00000000000000000004,0000000000000000001t,00000000000000000009,0000000000000000000o,0,0000000000000000001t,00000000000000000004,1
00000000000000000003,00000000000000000005,0000000000000000000s,00000000000000000002,0000000000000000000k,1,0000000000000000000s,0000000000000000000s,1
0000000000000000000b,00000000000000000003,0000000000000000003l,0000000000000000000e,0000000000000000000c,0,0000000000000000003l,00000000000000000009,1
00000000000000000008,00000000000000000001,00000000000000000029,00000000000000000001,0000000000000000000a,1,00000000000000000029,00000000000000000002,1
0000000000000000000d,00000000000000000002,0000000000000000002g,00000000000000000007,00000000000000000006,0,0000000000000000002g,0000000000000000000e,1
00000000000000000004,00000000000000000004,00000000000000000009,0000000000000000000o,00000000000000000005,1,00000000000000000009,0000000000000000000t,1
00000000000000000009,00000000000000000005,0000000000000000000u,0000000000000000000k,00000000000000000003,0,0000000000000000000u,00000000000000000001,1
00000000000000000002,00000000000000000003,0000000000000000002s,0000000000000000000c,0000000000000000000l,1,0000000000000000002s,00000000000000000007,1
00000000000000000001,00000000000000000001,00000000000000000001,0000000000000000000a,0000000000000000000j,0,00000000000000000001,0000000000000000000o,1
00000000000000000007,00000000000000000002,0000000000000000000q,00000000000000000006,0000000000000000000m,1,0000000000000000000q,0000000000000000000k,1
