trip_id,start_time,end_time,headway_secs,exact_times
00000000000000000010,0000000000000000000j,00000000000000000005,184,0
0000000000000000003c,0000000000000000000g,00000000000000000003,189,0
0000000000000000002l,0000000000000000000b,0000000000000000000l,182,0
00000000000000000004,00000000000000000008,0000000000000000000j,194,0
0000000000000000002w,0000000000000000000h,0000000000000000000m,181,0
0000000000000000002z,0000000000000000000i,0000000000000000000g,187,0
0000000000000000001c,0000000000000000000d,0000000000000000000b,192,0
0000000000000000003g,0000000000000000000f,00000000000000000008,190,0
00000000000000000025,00000000000000000004,0000000000000000000h,186,0
0000000000000000003j,00000000000000000009,0000000000000000000i,185,0
0000000000000000002f,00000000000000000002,0000000000000000000d,183,0
0000000000000000001h,0000000000000000000e,0000000000000000000f,199,0
0000000000000000001s,00000000000000000001,00000000000000000004,196,0
0000000000000000003a,00000000000000000007,00000000000000000009,191,0
00000000000000000015,0000000000000000000k,00000000000000000002,188,0
0000000000000000001l,0000000000000000000c,0000000000000000000e,197,0
0000000000000000000z,0000000000000000000a,00000000000000000001,198,0
0000000000000000000x,00000000000000000006,00000000000000000007,193,0
00000000000000000032,00000000000000000005,0000000000000000000k,195,0
00000000000000000038,00000000000000000003,0000000000000000000c,184,0
0000000000000000002u,0000000000000000000l,0000000000000000000a,189,0
0000000000000000003h,0000000000000000000j,00000000000000000006,182,0
0000000000000000003i,0000000000000000000g,00000000000000000005,194,0
00000000000000000024,0000000000000000000b,00000000000000000003,181,0
0000000000000000000e,00000000000000000008,0000000000000000000l,187,0
00000000000000000018,0000000000000000000h,0000000000000000000j,192,0
00000000000000000039,0000000000000000000i,0000000000000000000m,190,0
0000000000000000000f,0000000000000000000d,0000000000000000000g,186,0
0000000000000000001e,0000000000000000000f,0000000000000000000b,185,0
0000000000000000000d,00000000000000000004,00000000000000000008,183,0
0000000000000000002e,00000000000000000009,0000000000000000000h,199,0
0000000000000000001i,00000000000000000002,0000000000000000000i,196,0
00000000000000000006,0000000000000000000e,0000000000000000000d,191,0
0000000000000000000k,00000000000000000001,0000000000000000000f,188,0
00000000000000000022,00000000000000000007,00000000000000000004,197,0
0000000000000000000n,0000000000000000000k,00000000000000000009,198,0
00000000000000000020,0000000000000000000c,00000000000000000002,193,0
00000000000000000008,0000000000000000000a,0000000000000000000e,195,0
00000000000000000035,00000000000000000006,00000000000000000001,184,0
0000000000000000001d,00000000000000000005,00000000000000000007,189,0
0000000000000000002o,00000000000000000003,0000000000000000000k,182,0
0000000000000000002y,0000000000000000000l,0000000000000000000c,194,0
0000000000000000000h,0000000000000000000j,0000000000000000000a,181,0
0000000000000000003k,0000000000000000000g,00000000000000000006,187,0
0000000000000000002a,0000000000000000000b,00000000000000000005,192,0
00000000000000000036,00000000000000000008,00000000000000000003,190,0
0000000000000000000l,0000000000000000000h,0000000000000000000l,186,0
0000000000000000001y,0000000000000000000i,0000000000000000000j,185,0
0000000000000000001u,0000000000000000000d,0000000000000000000m,183,0
00000000000000000023,0000000000000000000f,0000000000000000000g,199,0
0000000000000000001t,00000000000000000004,0000000000000000000b,196,0
0000000000000000000s,00000000000000000009,00000000000000000008,191,0
0000000000000000003l,00000000000000000002,0000000000000000000h,188,0
00000000000000000029,0000000000000000000e,0000000000000000000i,197,0
0000000000000000002g,00000000000000000001,0000000000000000000d,198,0
00000000000000000009,00000000000000000007,0000000000000000000f,193,0
0000000000000000000u,0000000000000000000k,00000000000000000004,195,0
0000000000000000002s,0000000000000000000c,00000000000000000009,184,0
00000000000000000001,0000000000000000000a,00000000000000000002,189,0
0000000000000000000q,00000000000000000006,0000000000000000000e,182,0
00000000000000000033,00000000000000000005,00000000000000000001,194,0
00000000000000000037,00000000000000000003,00000000000000000007,181,0
0000000000000000001b,0000000000000000000l,0000000000000000000k,187,0
00000000000000000030,0000000000000000000j,0000000000000000000c,192,0
00000000000000000021,0000000000000000000g,0000000000000000000a,190,0
0000000000000000000c,0000000000000000000b,00000000000000000006,186,0
00000000000000000014,00000000000000000008,00000000000000000005,185,0
0000000000000000000v,0000000000000000000h,00000000000000000003,183,0
0000000000000000001a,0000000000000000000i,0000000000000000000l,199,0
0000000000000000001p,0000000000000000000d,0000000000000000000j,196,0
0000000000000000000g,0000000000000000000f,0000000000000000000m,191,0
0000000000000000000t,00000000000000000004,0000000000000000000g,188,0
0000000000000000002q,00000000000000000009,0000000000000000000b,197,0
0000000000000000002d,00000000000000000002,00000000000000000008,198,0
0000000000000000003f,0000000000000000000e,0000000000000000000h,193,0
0000000000000000002x,00000000000000000001,0000000000000000000i,195,0
0000000000000000000j,00000000000000000007,0000000000000000000d,184,0
0000000000000000002r,0000000000000000000k,0000000000000000000f,189,0
0000000000000000002j,0000000000000000000c,00000000000000000004,182,0
0000000000000000000b,0000000000000000000a,00000000000000000009,194,0
0000000000000000000y,00000000000000000006,00000000000000000002,181,0
00000000000000000016,00000000000000000005,0000000000000000000e,187,0
0000000000000000002b,00000000000000000003,00000000000000000001,192,0
00000000000000000019,0000000000000000000l,00000000000000000007,190,0
00000000000000000013,0000000000000000000j,0000000000000000000k,186,0
00000000000000000005,0000000000000000000g,0000000000000000000c,185,0
0000000000000000003m,0000000000000000000b,0000000000000000000a,183,0
0000000000000000002p,00000000000000000008,00000000000000000006,199,0
0000000000000000001k,0000000000000000000h,00000000000000000005,196,0
0000000000000000000i,0000000000000000000i,00000000000000000003,191,0
0000000000000000001o,0000000000000000000d,0000000000000000000l,188,0
00000000000000000002,0000000000000000000f,0000000000000000000j,197,0
0000000000000000001g,00000000000000000004,0000000000000000000m,198,0
0000000000000000001x,00000000000000000009,0000000000000000000g,193,0
0000000000000000002m,00000000000000000002,0000000000000000000b,195,0
0000000000000000000o,0000000000000000000e,00000000000000000008,184,0
00000000000000000028,00000000000000000001,0000000000000000000h,189,0
0000000000000000001q,00000000000000000007,0000000000000000000i,182,0
0000000000000000003d,0000000000000000000k,0000000000000000000d,194,0
0000000000000000003b,0000000000000000000c,0000000000000000000f,181,0
0000000000000000001v,0000000000000000000a,00000000000000000004,187,0
0000000000000000002h,00000000000000000006,00000000000000000009,192,0
0000000000000000002k,00000000000000000005,00000000000000000002,190,0
0000000000000000003e,00000000000000000003,0000000000000000000e,186,0
0000000000000000000w,0000000000000000000l,00000000000000000001,185,0
0000000000000000001n,0000000000000000000j,00000000000000000007,183,0
0000000000000000002n,0000000000000000000g,0000000000000000000k,199,0
0000000000000000001j,0000000000000000000b,0000000000000000000c,196,0
0000000000000000001m,00000000000000000008,0000000000000000000a,191,0
0000000000000000001f,0000000000000000000h,00000000000000000006,188,0
0000000000000000001r,0000000000000000000i,00000000000000000005,197,0
00000000000000000012,0000000000000000000d,00000000000000000003,198,0
0000000000000000002v,0000000000000000000f,0000000000000000000l,193,0
00000000000000000007,00000000000000000004,0000000000000000000j,195,0
0000000000000000000m,00000000000000000009,0000000000000000000m,184,0
0000000000000000001w,00000000000000000002,0000000000000000000g,189,0
0000000000000000000p,0000000000000000000e,0000000000000000000b,182,0
0000000000000000002c,00000000000000000001,00000000000000000008,194,0
00000000000000000017,00000000000000000007,0000000000000000000h,181,0
00000000000000000031,0000000000000000000k,0000000000000000000i,187,0
0000000000000000000r,0000000000000000000c,0000000000000000000d,192,0
0000000000000000002i,0000000000000000000a,0000000000000000000f,190,0
00000000000000000003,00000000000000000006,00000000000000000004,186,0
00000000000000000026,00000000000000000005,00000000000000000009,185,0
0000000000000000000a,00000000000000000003,00000000000000000002,183,0
0000000000000000002t,0000000000000000000l,0000000000000000000e,199,0
00000000000000000034,0000000000000000000j,00000000000000000001,196,0
00000000000000000011,0000000000000000000g,00000000000000000007,191,0
0000000000000000001z,0000000000000000000b,0000000000000000000k,188,0
00000000000000000027,00000000000000000008,0000000000000000000c,197,0
00000000000000000010,0000000000000000000h,0000000000000000000a,198,0
0000000000000000003c,0000000000000000000i,00000000000000000006,193,0
0000000000000000002l,0000000000000000000d,00000000000000000005,195,0
00000000000000000004,0000000000000000000f,00000000000000000003,184,0
0000000000000000002w,00000000000000000004,0000000000000000000l,189,0
0000000000000000002z,00000000000000000009,0000000000000000000j,182,0
0000000000000000001c,00000000000000000002,0000000000000000000m,194,0
0000000000000000003g,0000000000000000000e,0000000000000000000g,181,0
00000000000000000025,00000000000000000001,0000000000000000000b,187,0
0000000000000000003j,00000000000000000007,00000000000000000008,192,0
0000000000000000002f,0000000000000000000k,0000000000000000000h,190,0
0000000000000000001h,0000000000000000000c,0000000000000000000i,186,0
0000000000000000001s,0000000000000000000a,0000000000000000000d,185,0
0000000000000000003a,00000000000000000006,0000000000000000000f,183,0
00000000000000000015,00000000000000000005,00000000000000000004,199,0
0000000000000000001l,00000000000000000003,00000000000000000009,196,0
0000000000000000000z,0000000000000000000l,00000000000000000002,191,0
0000000000000000000x,0000000000000000000j,0000000000000000000e,188,0
00000000000000000032,0000000000000000000g,00000000000000000001,197,0
00000000000000000038,0000000000000000000b,00000000000000000007,198,0
0000000000000000002u,00000000000000000008,0000000000000000000k,193,0
0000000000000000003h,0000000000000000000h,0000000000000000000c,195,0
0000000000000000003i,0000000000000000000i,0000000000000000000a,184,0
00000000000000000024,0000000000000000000d,00000000000000000006,189,0
0000000000000000000e,0000000000000000000f,00000000000000000005,182,0
00000000000000000018,00000000000000000004,00000000000000000003,194,0
00000000000000000039,00000000000000000009,0000000000000000000l,181,0
0000000000000000000f,00000000000000000002,0000000000000000000j,187,0
0000000000000000001e,0000000000000000000e,0000000000000000000m,192,0
0000000000000000000d,00000000000000000001,0000000000000000000g,190,0
0000000000000000002e,00000000000000000007,0000000000000000000b,186,0
0000000000000000001i,0000000000000000000k,00000000000000000008,185,0
00000000000000000006,0000000000000000000c,0000000000000000000h,183,0
0000000000000000000k,0000000000000000000a,0000000000000000000i,199,0
00000000000000000022,00000000000000000006,0000000000000000000d,196,0
0000000000000000000n,00000000000000000005,0000000000000000000f,191,0
00000000000000000020,00000000000000000003,00000000000000000004,188,0
00000000000000000008,0000000000000000000l,00000000000000000009,197,0
00000000000000000035,0000000000000000000j,00000000000000000002,198,0
0000000000000000001d,0000000000000000000g,0000000000000000000e,193,0
0000000000000000002o,0000000000000000000b,00000000000000000001,195,0
0000000000000000002y,00000000000000000008,00000000000000000007,184,0
0000000000000000000h,0000000000000000000h,0000000000000000000k,189,0
0000000000000000003k,0000000000000000000i,0000000000000000000c,182,0
0000000000000000002a,0000000000000000000d,0000000000000000000a,194,0
00000000000000000036,0000000000000000000f,00000000000000000006,181,0
0000000000000000000l,00000000000000000004,00000000000000000005,187,0
0000000000000000001y,00000000000000000009,00000000000000000003,192,0
0000000000000000001u,00000000000000000002,0000000000000000000l,190,0
00000000000000000023,0000000000000000000e,0000000000000000000j,186,0
0000000000000000001t,00000000000000000001,0000000000000000000m,185,0
0000000000000000000s,00000000000000000007,0000000000000000000g,183,0
0000000000000000003l,0000000000000000000k,0000000000000000000b,199,0
00000000000000000029,0000000000000000000c,00000000000000000008,196,0
0000000000000000002g,0000000000000000000a,0000000000000000000h,191,0
00000000000000000009,00000000000000000006,0000000000000000000i,188,0
0000000000000000000u,00000000000000000005,0000000000000000000d,197,0
0000000000000000002s,00000000000000000003,0000000000000000000f,198,0
00000000000000000001,0000000000000000000l,00000000000000000004,193,0
0000000000000000000q,0000000000000000000j,00000000000000000009,195,0
00000000000000000033,0000000000000000000g,00000000000000000002,184,0
00000000000000000037,0000000000000000000b,0000000000000000000e,189,0
0000000000000000001b,00000000000000000008,00000000000000000001,182,0
00000000000000000030,0000000000000000000h,00000000000000000007,194,0
00000000000000000021,0000000000000000000i,0000000000000000000k,181,0
0000000000000000000c,0000000000000000000d,0000000000000000000c,187,0
00000000000000000014,0000000000000000000f,0000000000000000000a,192,0
0000000000000000000v,00000000000000000004,00000000000000000006,190,0
0000000000000000001a,00000000000000000009,00000000000000000005,186,0
0000000000000000001p,00000000000000000002,00000000000000000003,185,0
0000000000000000000g,0000000000000000000e,0000000000000000000l,183,0
0000000000000000000t,00000000000000000001,0000000000000000000j,199,0
0000000000000000002q,00000000000000000007,0000000000000000000m,196,0
0000000000000000002d,0000000000000000000k,0000000000000000000g,191,0
0000000000000000003f,0000000000000000000c,0000000000000000000b,188,0
0000000000000000002x,0000000000000000000a,00000000000000000008,197,0
0000000000000000000j,00000000000000000006,0000000000000000000h,198,0
0000000000000000002r,00000000000000000005,0000000000000000000i,193,0
0000000000000000002j,00000000000000000003,0000000000000000000d,195,0
0000000000000000000b,0000000000000000000l,0000000000000000000f,184,0
0000000000000000000y,0000000000000000000j,00000000000000000004,189,0
00000000000000000016,0000000000000000000g,00000000000000000009,182,0
0000000000000000002b,0000000000000000000b,00000000000000000002,194,0
00000000000000000019,00000000000000000008,0000000000000000000e,181,0
00000000000000000013,0000000000000000000h,00000000000000000001,187,0
00000000000000000005,0000000000000000000i,00000000000000000007,192,0
0000000000000000003m,0000000000000000000d,0000000000000000000k,190,0
0000000000000000002p,0000000000000000000f,0000000000000000000c,186,0
0000000000000000001k,00000000000000000004,0000000000000000000a,185,0
0000000000000000000i,00000000000000000009,00000000000000000006,183,0
0000000000000000001o,00000000000000000002,00000000000000000005,199,0
00000000000000000002,0000000000000000000e,00000000000000000003,196,0
0000000000000000001g,00000000000000000001,0000000000000000000l,191,0
0000000000000000001x,00000000000000000007,0000000000000000000j,188,0
0000000000000000002m,0000000000000000000k,0000000000000000000m,197,0
0000000000000000000o,0000000000000000000c,0000000000000000000g,198,0
00000000000000000028,0000000000000000000a,0000000000000000000b,193,0
0000000000000000001q,00000000000000000006,00000000000000000008,195,0
0000000000000000003d,00000000000000000005,0000000000000000000h,184,0
0000000000000000003b,00000000000000000003,0000000000000000000i,189,0
0000000000000000001v,0000000000000000000l,0000000000000000000d,182,0
0000000000000000002h,0000000000000000000j,0000000000000000000f,194,0
0000000000000000002k,0000000000000000000g,00000000000000000004,181,0
0000000000000000003e,0000000000000000000b,00000000000000000009,187,0
0000000000000000000w,00000000000000000008,00000000000000000002,192,0
0000000000000000001n,0000000000000000000h,0000000000000000000e,190,0
0000000000000000002n,0000000000000000000i,00000000000000000001,186,0
0000000000000000001j,0000000000000000000d,00000000000000000007,185,0
0000000000000000001m,0000000000000000000f,0000000000000000000k,183,0
0000000000000000001f,00000000000000000004,0000000000000000000c,199,0
0000000000000000001r,00000000000000000009,0000000000000000000a,196,0
00000000000000000012,00000000000000000002,00000000000000000006,191,0
0000000000000000002v,0000000000000000000e,00000000000000000005,188,0
00000000000000000007,00000000000000000001,00000000000000000003,197,0
0000000000000000000m,00000000000000000007,0000000000000000000l,198,0
0000000000000000001w,0000000000000000000k,0000000000000000000j,193,0
0000000000000000000p,0000000000000000000c,0000000000000000000m,195,0
0000000000000000002c,0000000000000000000a,0000000000000000000g,184,0
00000000000000000017,00000000000000000006,0000000000000000000b,189,0
00000000000000000031,00000000000000000005,00000000000000000008,182,0
0000000000000000000r,00000000000000000003,0000000000000000000h,194,0
0000000000000000002i,0000000000000000000l,0000000000000000000i,181,0
00000000000000000003,0000000000000000000j,0000000000000000000d,187,0
00000000000000000026,0000000000000000000g,0000000000000000000f,192,0
0000000000000000000a,0000000000000000000b,00000000000000000004,190,0
0000000000000000002t,00000000000000000008,00000000000000000009,186,0
00000000000000000034,0000000000000000000h,00000000000000000002,185,0
00000000000000000011,0000000000000000000i,0000000000000000000e,183,0
0000000000000000001z,0000000000000000000d,00000000000000000001,199,0
00000000000000000027,0000000000000000000f,00000000000000000007,196,0
00000000000000000010,00000000000000000004,0000000000000000000k,191,0
0000000000000000003c,00000000000000000009,0000000000000000000c,188,0
0000000000000000002l,00000000000000000002,0000000000000000000a,197,0
00000000000000000004,0000000000000000000e,00000000000000000006,198,0
0000000000000000002w,00000000000000000001,00000000000000000005,193,0
0000000000000000002z,00000000000000000007,00000000000000000003,195,0
0000000000000000001c,0000000000000000000k,0000000000000000000l,184,0
0000000000000000003g,0000000000000000000c,0000000000000000000j,189,0
00000000000000000025,0000000000000000000a,0000000000000000000m,182,0
0000000000000000003j,00000000000000000006,0000000000000000000g,194,0
0000000000000000002f,00000000000000000005,0000000000000000000b,181,0
0000000000000000001h,00000000000000000003,00000000000000000008,187,0
0000000000000000001s,0000000000000000000l,0000000000000000000h,192,0
0000000000000000003a,0000000000000000000j,0000000000000000000i,190,0
00000000000000000015,0000000000000000000g,0000000000000000000d,186,0
0000000000000000001l,0000000000000000000b,0000000000000000000f,185,0
0000000000000000000z,00000000000000000008,00000000000000000004,183,0
0000000000000000000x,0000000000000000000h,00000000000000000009,199,0
00000000000000000032,0000000000000000000i,00000000000000000002,196,0
00000000000000000038,0000000000000000000d,0000000000000000000e,191,0
0000000000000000002u,0000000000000000000f,00000000000000000001,188,0
0000000000000000003h,00000000000000000004,00000000000000000007,197,0
0000000000000000003i,00000000000000000009,0000000000000000000k,198,0
00000000000000000024,00000000000000000002,0000000000000000000c,193,0
0000000000000000000e,0000000000000000000e,0000000000000000000a,195,0
00000000000000000018,00000000000000000001,00000000000000000006,184,0
00000000000000000039,00000000000000000007,00000000000000000005,189,0
0000000000000000000f,0000000000000000000k,00000000000000000003,182,0
0000000000000000001e,0000000000000000000c,0000000000000000000l,194,0
0000000000000000000d,0000000000000000000a,0000000000000000000j,181,0
0000000000000000002e,00000000000000000006,0000000000000000000m,187,0
0000000000000000001i,00000000000000000005,0000000000000000000g,192,0
00000000000000000006,00000000000000000003,0000000000000000000b,190,0
0000000000000000000k,0000000000000000000l,00000000000000000008,186,0
00000000000000000022,0000000000000000000j,0000000000000000000h,185,0
0000000000000000000n,0000000000000000000g,0000000000000000000i,183,0
00000000000000000020,0000000000000000000b,0000000000000000000d,199,0
00000000000000000008,00000000000000000008,0000000000000000000f,196,0
00000000000000000035,0000000000000000000h,00000000000000000004,191,0
0000000000000000001d,0000000000000000000i,00000000000000000009,188,0
0000000000000000002o,0000000000000000000d,00000000000000000002,197,0
0000000000000000002y,0000000000000000000f,0000000000000000000e,198,0
0000000000000000000h,00000000000000000004,00000000000000000001,193,0
0000000000000000003k,00000000000000000009,00000000000000000007,195,0
0000000000000000002a,00000000000000000002,0000000000000000000k,184,0
00000000000000000036,0000000000000000000e,0000000000000000000c,189,0
0000000000000000000l,00000000000000000001,0000000000000000000a,182,0
0000000000000000001y,00000000000000000007,00000000000000000006,194,0
0000000000000000001u,0000000000000000000k,00000000000000000005,181,0
00000000000000000023,0000000000000000000c,00000000000000000003,187,0
0000000000000000001t,0000000000000000000a,0000000000000000000l,192,0
0000000000000000000s,00000000000000000006,0000000000000000000j,190,0
0000000000000000003l,00000000000000000005,0000000000000000000m,186,0
00000000000000000029,00000000000000000003,0000000000000000000g,185,0
0000000000000000002g,0000000000000000000l,0000000000000000000b,183,0
00000000000000000009,0000000000000000000j,00000000000000000008,199,0
0000000000000000000u,0000000000000000000g,0000000000000000000h,196,0
0000000000000000002s,0000000000000000000b,0000000000000000000i,191,0
00000000000000000001,00000000000000000008,0000000000000000000d,188,0
0000000000000000000q,0000000000000000000h,0000000000000000000f,197,0
00000000000000000033,0000000000000000000i,00000000000000000004,198,0
00000000000000000037,0000000000000000000d,00000000000000000009,193,0
0000000000000000001b,0000000000000000000f,00000000000000000002,195,0
00000000000000000030,00000000000000000004,0000000000000000000e,184,0
00000000000000000021,00000000000000000009,00000000000000000001,189,0
0000000000000000000c,00000000000000000002,00000000000000000007,182,0
00000000000000000014,0000000000000000000e,0000000000000000000k,194,0
0000000000000000000v,00000000000000000001,0000000000000000000c,181,0
0000000000000000001a,00000000000000000007,0000000000000000000a,187,0
0000000000000000001p,0000000000000000000k,00000000000000000006,192,0
0000000000000000000g,0000000000000000000c,00000000000000000005,190,0
0000000000000000000t,0000000000000000000a,00000000000000000003,186,0
0000000000000000002q,00000000000000000006,0000000000000000000l,185,0
0000000000000000002d,00000000000000000005,0000000000000000000j,183,0
0000000000000000003f,00000000000000000003,0000000000000000000m,199,0
0000000000000000002x,0000000000000000000l,0000000000000000000g,196,0
0000000000000000000j,0000000000000000000j,0000000000000000000b,191,0
0000000000000000002r,0000000000000000000g,00000000000000000008,188,0
0000000000000000002j,0000000000000000000b,0000000000000000000h,197,0
0000000000000000000b,00000000000000000008,0000000000000000000i,198,0
0000000000000000000y,0000000000000000000h,0000000000000000000d,193,0
00000000000000000016,0000000000000000000i,0000000000000000000f,195,0
0000000000000000002b,0000000000000000000d,00000000000000000004,184,0
00000000000000000019,0000000000000000000f,00000000000000000009,189,0
00000000000000000013,00000000000000000004,00000000000000000002,182,0
00000000000000000005,00000000000000000009,0000000000000000000e,194,0
0000000000000000003m,00000000000000000002,00000000000000000001,181,0
0000000000000000002p,0000000000000000000e,00000000000000000007,187,0
0000000000000000001k,00000000000000000001,0000000000000000000k,192,0
0000000000000000000i,00000000000000000007,0000000000000000000c,190,0
0000000000000000001o,0000000000000000000k,0000000000000000000a,186,0
00000000000000000002,0000000000000000000c,00000000000000000006,185,0
0000000000000000001g,0000000000000000000a,00000000000000000005,183,0
0000000000000000001x,00000000000000000006,00000000000000000003,199,0
0000000000000000002m,00000000000000000005,0000000000000000000l,196,0
0000000000000000000o,00000000000000000003,0000000000000000000j,191,0
00000000000000000028,0000000000000000000l,0000000000000000000m,188,0
0000000000000000001q,0000000000000000000j,0000000000000000000g,197,0
0000000000000000003d,0000000000000000000g,0000000000000000000b,198,0
0000000000000000003b,0000000000000000000b,00000000000000000008,193,0
0000000000000000001v,00000000000000000008,0000000000000000000h,195,0
0000000000000000002h,0000000000000000000h,0000000000000000000i,184,0
0000000000000000002k,0000000000000000000i,0000000000000000000d,189,0
0000000000000000003e,0000000000000000000d,0000000000000000000f,182,0
0000000000000000000w,0000000000000000000f,00000000000000000004,194,0
0000000000000000001n,00000000000000000004,00000000000000000009,181,0
0000000000000000002n,00000000000000000009,00000000000000000002,187,0
0000000000000000001j,00000000000000000002,0000000000000000000e,192,0
0000000000000000001m,0000000000000000000e,00000000000000000001,190,0
0000000000000000001f,00000000000000000001,00000000000000000007,186,0
0000000000000000001r,00000000000000000007,0000000000000000000k,185,0
00000000000000000012,0000000000000000000k,0000000000000000000c,183,0
0000000000000000002v,0000000000000000000c,0000000000000000000a,199,0
00000000000000000007,0000000000000000000a,00000000000000000006,196,0
0000000000000000000m,00000000000000000006,00000000000000000005,191,0
0000000000000000001w,00000000000000000005,00000000000000000003,188,0
0000000000000000000p,00000000000000000003,0000000000000000000l,197,0
0000000000000000002c,0000000000000000000l,0000000000000000000j,198,0
00000000000000000017,0000000000000000000j,0000000000000000000m,193,0
00000000000000000031,0000000000000000000g,0000000000000000000g,195,0
0000000000000000000r,0000000000000000000b,0000000000000000000b,184,0
0000000000000000002i,00000000000000000008,00000000000000000008,189,0
00000000000000000003,0000000000000000000h,0000000000000000000h,182,0
00000000000000000026,0000000000000000000i,0000000000000000000i,194,0
0000000000000000000a,0000000000000000000d,0000000000000000000d,181,0
0000000000000000002t,0000000000000000000f,0000000000000000000f,187,0
00000000000000000034,00000000000000000004,00000000000000000004,192,0
00000000000000000011,00000000000000000009,00000000000000000009,190,0
0000000000000000001z,00000000000000000002,00000000000000000002,186,0
00000000000000000027,0000000000000000000e,0000000000000000000e,185,0
00000000000000000010,00000000000000000001,00000000000000000001,183,0
0000000000000000003c,00000000000000000007,00000000000000000007,199,0
0000000000000000002l,0000000000000000000k,0000000000000000000k,196,0
00000000000000000004,0000000000000000000c,0000000000000000000c,191,0
0000000000000000002w,0000000000000000000a,0000000000000000000a,188,0
0000000000000000002z,00000000000000000006,00000000000000000006,197,0
0000000000000000001c,00000000000000000005,00000000000000000005,198,0
