shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0000000000000000000n,18775,18735,1011195,21850
0000000000000000000g,33775,33735,1008868,22183
0000000000000000000b,39885,39845,1013692,24973
0000000000000000000q,42242,42202,1013124,25257
0000000000000000000u,12618,12578,1012318,12011
00000000000000000008,43826,43786,1011150,6575
0000000000000000000h,6418,6378,1010450,13161
0000000000000000000i,43471,43431,1009649,19013
0000000000000000000p,10027,9987,1008523,1008
0000000000000000000d,16822,16782,1007513,30742
0000000000000000000v,51276,51236,1014618,20479
0000000000000000000f,11614,11574,1004309,16545
00000000000000000004,864,824,1002998,3770
0000000000000000000s,55330,55290,1011044,12313
00000000000000000009,6463,6423,1002852,9726
00000000000000000002,54361,54321,1012873,25569
0000000000000000000e,45329,45289,1014932,14636
0000000000000000000t,25470,25430,1013195,16991
00000000000000000001,53917,53877,1008891,11699
00000000000000000007,37884,37844,1000081,31074
0000000000000000000o,58015,57975,1012999,19683
0000000000000000000k,29570,29530,1010297,12843
0000000000000000000c,46087,46047,1002077,7913
0000000000000000000r,43081,43041,1002378,14889
0000000000000000000a,15650,15610,1002453,3030
00000000000000000006,56657,56617,1001932,33239
00000000000000000005,943,903,1008378,17285
00000000000000000003,18560,18520,1006231,6157
0000000000000000000l,3802,3762,1007616,32215
0000000000000000000j,10417,10377,1011096,4330
0000000000000000000w,11199,11159,1001778,32090
0000000000000000000m,437,397,1013872,18962
0000000000000000000n,49252,49212,1015153,29860
0000000000000000000g,8987,8947,1012378,25904
0000000000000000000b,56431,56391,1011665,15759
0000000000000000000q,46254,46214,1008394,13564
0000000000000000000u,12041,12001,1012908,1358
00000000000000000008,4195,4155,1015053,28627
0000000000000000000h,5520,5480,1010148,27527
0000000000000000000i,26161,26121,1012325,18123
0000000000000000000p,21133,21093,1002418,23533
0000000000000000000d,4393,4353,1013184,12619
0000000000000000000v,53436,53396,1004396,20093
0000000000000000000f,21485,21445,1013992,15946
00000000000000000004,54524,54484,1015621,33530
0000000000000000000s,5295,5255,1010589,14017
00000000000000000009,44629,44589,1001331,4802
00000000000000000002,31900,31860,1008308,15892
0000000000000000000e,9929,9889,1010235,22624
0000000000000000000t,22063,22023,1012463,12189
00000000000000000001,29447,29407,1015715,15182
00000000000000000007,16321,16281,1002675,17214
0000000000000000000o,39925,39885,1009704,6265
0000000000000000000k,51922,51882,1005328,16085
0000000000000000000c,55109,55069,1014097,30752
0000000000000000000r,26339,26299,1011131,6101
0000000000000000000a,28473,28433,1011621,832
00000000000000000006,299,259,1011957,1338
00000000000000000005,54609,54569,1004305,23787
00000000000000000003,5342,5302,1013300,20078
0000000000000000000l,48344,48304,1011551,12718
0000000000000000000j,23373,23333,1001531,32386
0000000000000000000w,46458,46418,1000233,27076
0000000000000000000m,32860,32820,1006190,31296
0000000000000000000n,42243,42203,1013029,16758
0000000000000000000g,12860,12820,1009719,29042
0000000000000000000b,2387,2347,1007880,27954
0000000000000000000q,45626,45586,1006662,17198
0000000000000000000u,31522,31482,1011915,7263
00000000000000000008,18456,18416,1010566,17017
0000000000000000000h,56580,56540,1010100,17991
0000000000000000000i,9267,9227,1003998,31991
0000000000000000000p,32908,32868,1009676,25373
0000000000000000000d,53859,53819,1007960,27119
0000000000000000000v,23848,23808,1000763,23618
0000000000000000000f,49926,49886,1011884,15385
00000000000000000004,36102,36062,1014294,23059
0000000000000000000s,26783,26743,1007849,19546
00000000000000000009,30109,30069,1011425,29991
00000000000000000002,8129,8089,1015067,30642
0000000000000000000e,57521,57481,1006211,15142
0000000000000000000t,10025,9985,1002776,28090
00000000000000000001,16338,16298,1010226,13410
00000000000000000007,44039,43999,1013356,19681
0000000000000000000o,47480,47440,1007133,29500
0000000000000000000k,56487,56447,1013826,1302
0000000000000000000c,31064,31024,1010032,15075
0000000000000000000r,7623,7583,1000535,25816
0000000000000000000a,35072,35032,1000952,33871
00000000000000000006,52543,52503,1015740,2820
00000000000000000005,5385,5345,1008725,17204
00000000000000000003,15230,15190,1011146,4831
0000000000000000000l,34552,34512,1015550,14197
0000000000000000000j,51695,51655,1005071,8166
0000000000000000000w,175,135,1010574,19278
0000000000000000000m,32710,32670,1002442,27394
0000000000000000000n,5943,5903,1005389,29150
0000000000000000000g,28524,28484,1003858,31732
0000000000000000000b,37922,37882,1014091,10933
0000000000000000000q,54936,54896,1009679,4148
0000000000000000000u,32940,32900,1013330,3786
00000000000000000008,4543,4503,1005392,16185
0000000000000000000h,5821,5781,1004584,16653
0000000000000000000i,48369,48329,1009054,29906
0000000000000000000p,54690,54650,1005449,11237
0000000000000000000d,24944,24904,1003802,19273
0000000000000000000v,26628,26588,1010849,33116
0000000000000000000f,34144,34104,1015626,13832
00000000000000000004,52962,52922,1006623,32948
0000000000000000000s,6780,6740,1002477,8787
00000000000000000009,31072,31032,1000115,26391
00000000000000000002,9559,9519,1015165,16159
0000000000000000000e,3569,3529,1010801,10361
0000000000000000000t,54034,53994,1013523,7287
00000000000000000001,9796,9756,1003893,21902
00000000000000000007,33285,33245,1004685,125
0000000000000000000o,45090,45050,1005548,30250
0000000000000000000k,1813,1773,1004438,20281
0000000000000000000c,29094,29054,1000955,7855
0000000000000000000r,30898,30858,1003311,853
0000000000000000000a,13739,13699,1000997,6420
00000000000000000006,15099,15059,1014551,7809
00000000000000000005,44210,44170,1014296,12557
00000000000000000003,15600,15560,1001592,20087
0000000000000000000l,28544,28504,1010138,26230
0000000000000000000j,51347,51307,1000991,8244
0000000000000000000w,15962,15922,1014757,21056
0000000000000000000m,53050,53010,1013130,9404
0000000000000000000n,28076,28036,1013003,19335
0000000000000000000g,51090,51050,1007690,971
0000000000000000000b,53771,53731,1008638,3860
0000000000000000000q,2552,2512,1002095,34093
0000000000000000000u,7926,7886,1006734,28832
00000000000000000008,8395,8355,1009491,15749
0000000000000000000h,21890,21850,1007393,11144
0000000000000000000i,22223,22183,1005300,17638
0000000000000000000p,25013,24973,1009867,20845
0000000000000000000d,43326,43286,1014525,29959
0000000000000000000v,25297,25257,1014704,30568
0000000000000000000f,12051,12011,1009184,30649
00000000000000000004,6615,6575,1001186,16836
0000000000000000000s,46790,46750,1011818,32672
00000000000000000009,13201,13161,1007038,6387
00000000000000000002,37723,37683,1002904,13984
0000000000000000000e,19053,19013,1002506,34409
0000000000000000000t,1048,1008,1006193,26729
00000000000000000001,43970,43930,1013095,10197
00000000000000000007,30782,30742,1014013,24761
0000000000000000000o,39382,39342,1003606,164
0000000000000000000k,20519,20479,1015564,4208
0000000000000000000c,55811,55771,1004191,18306
0000000000000000000r,16585,16545,1013951,29920
0000000000000000000a,3810,3770,1007463,20117
00000000000000000006,12353,12313,1005751,23675
00000000000000000005,9766,9726,1001643,29179
00000000000000000003,53663,53623,1001777,21554
0000000000000000000l,25609,25569,1006545,15912
0000000000000000000j,14676,14636,1008091,18225
0000000000000000000w,41847,41807,1008849,10318
0000000000000000000m,17031,16991,1011993,13917
0000000000000000000n,11739,11699,1001978,10738
0000000000000000000g,31114,31074,1011892,10756
0000000000000000000b,19723,19683,1008343,2874
0000000000000000000q,12883,12843,1012610,7887
0000000000000000000u,7953,7913,1011325,8597
00000000000000000008,14929,14889,1006087,24220
0000000000000000000h,3070,3030,1009813,3902
0000000000000000000i,33279,33239,1012731,9873
0000000000000000000p,43638,43598,1002868,31063
0000000000000000000d,50441,50401,1004158,17021
0000000000000000000v,39145,39105,1005965,18959
0000000000000000000f,17325,17285,1009600,22173
00000000000000000004,48414,48374,1004991,617
0000000000000000000s,6197,6157,1007545,32905
00000000000000000009,32255,32215,1010885,27689
00000000000000000002,4370,4330,1013092,537
0000000000000000000e,47870,47830,1002872,29951
0000000000000000000t,32130,32090,1014088,26238
00000000000000000001,47017,46977,1008953,8643
00000000000000000007,19002,18962,1006528,27892
0000000000000000000o,57296,57256,1002940,18086
0000000000000000000k,55578,55538,1011218,28491
0000000000000000000c,39834,39794,1014434,11197
0000000000000000000r,29900,29860,1010001,9593
0000000000000000000a,25944,25904,1013586,21437
00000000000000000006,15799,15759,1004531,11061
00000000000000000005,13604,13564,1006913,30373
00000000000000000003,38307,38267,1010991,11011
0000000000000000000l,1398,1358,1009549,28860
0000000000000000000j,28667,28627,1010548,6337
0000000000000000000w,27567,27527,1014372,33509
0000000000000000000m,42908,42868,1015048,8935
0000000000000000000n,46280,46240,1008792,12971
0000000000000000000g,18163,18123,1004411,10856
0000000000000000000b,23573,23533,1002094,27074
0000000000000000000q,45309,45269,1006492,14171
0000000000000000000u,54811,54771,1010999,29280
00000000000000000008,54226,54186,1014032,2479
0000000000000000000h,12659,12619,1013683,24320
0000000000000000000i,53748,53708,1010946,33754
0000000000000000000p,50951,50911,1015737,9955
0000000000000000000d,20133,20093,1007999,9038
0000000000000000000v,15986,15946,1013121,3931
0000000000000000000f,33570,33530,1009313,8178
00000000000000000004,14057,14017,1015391,22025
0000000000000000000s,4842,4802,1010408,29891
00000000000000000009,15932,15892,1013328,33406
00000000000000000002,45790,45750,1009342,30295
0000000000000000000e,22664,22624,1002295,31171
0000000000000000000t,12229,12189,1012152,15905
00000000000000000001,49691,49651,1002117,32478
00000000000000000007,15222,15182,1012058,32021
0000000000000000000o,58050,58010,1015055,21588
0000000000000000000k,38040,38000,1000310,24140
0000000000000000000c,51663,51623,1014910,29329
0000000000000000000r,17254,17214,1007871,30980
0000000000000000000a,6305,6265,1004484,6725
00000000000000000006,16125,16085,1003641,27402
00000000000000000005,30792,30752,1008732,31086
00000000000000000003,41802,41762,1012840,22587
0000000000000000000l,6141,6101,1006946,16034
0000000000000000000j,55417,55377,1014780,15482
0000000000000000000w,872,832,1011028,46
0000000000000000000m,1378,1338,1002056,11132
0000000000000000000n,23827,23787,1000240,14891
0000000000000000000g,56323,56283,1014472,3514
0000000000000000000b,20118,20078,1001878,28814
0000000000000000000q,12758,12718,1011564,12474
0000000000000000000u,32426,32386,1007964,18618
00000000000000000008,37218,37178,1003939,5421
0000000000000000000h,27116,27076,1006907,11843
0000000000000000000i,52237,52197,1008929,26415
0000000000000000000p,31336,31296,1003681,21653
0000000000000000000d,16798,16758,1009056,7662
0000000000000000000v,55356,55316,1005052,3907
0000000000000000000f,29082,29042,1011635,2684
00000000000000000004,27994,27954,1015345,16658
0000000000000000000s,48986,48946,1013138,31116
00000000000000000009,44618,44578,1012943,29847
00000000000000000002,17238,17198,1012552,22758
0000000000000000000e,53499,53459,1014715,7271
0000000000000000000t,36731,36691,1011676,6070
00000000000000000001,7303,7263,1014190,21428
00000000000000000007,57635,57595,1005624,23821
0000000000000000000o,37613,37573,1009340,11194
0000000000000000000k,17057,17017,1012790,8867
0000000000000000000c,18031,17991,1011638,23611
0000000000000000000r,53733,53693,1010356,13691
0000000000000000000a,32031,31991,1005836,13123
00000000000000000006,41631,41591,1012029,12317
00000000000000000005,51050,51010,1010690,11149
00000000000000000003,44091,44051,1000943,10449
0000000000000000000l,25413,25373,1007341,28583
0000000000000000000j,40123,40083,1014967,16879
0000000000000000000w,50433,50393,1000379,18880
0000000000000000000m,27159,27119,1011180,24834
0000000000000000000n,49513,49473,1005238,9648
0000000000000000000g,49896,49856,1006401,34747
0000000000000000000b,23658,23618,1002165,8522
0000000000000000000q,15425,15385,1005117,19507
0000000000000000000u,23099,23059,1004437,20553
00000000000000000008,52261,52221,1009715,29784
0000000000000000000h,37144,37104,1010557,7512
0000000000000000000i,19586,19546,1009183,17850
0000000000000000000p,30031,29991,1001689,19571
0000000000000000000d,57646,57606,1008485,21661
0000000000000000000v,40275,40235,1009492,16749
0000000000000000000f,36619,36579,1014251,28713
00000000000000000004,51894,51854,1011966,18656
0000000000000000000s,48333,48293,1009648,14617
00000000000000000009,46449,46409,1012125,4308
00000000000000000002,30682,30642,1008637,2997
0000000000000000000e,15182,15142,1011533,25253
0000000000000000000t,49527,49487,1008267,11043
00000000000000000001,28130,28090,1000313,2851
00000000000000000007,13450,13410,1004125,34424
0000000000000000000o,45164,45124,1010692,30359
0000000000000000000k,19721,19681,1011737,12872
0000000000000000000c,29540,29500,1010673,14931
0000000000000000000r,38827,38787,1015225,13194
0000000000000000000a,53766,53726,1013739,8890
00000000000000000006,1342,1302,1006398,18342
00000000000000000005,15115,15075,1006053,31563
00000000000000000003,48082,48042,1010779,80
0000000000000000000l,25856,25816,1008199,19360
0000000000000000000j,47326,47286,1013915,12998
0000000000000000000w,42910,42870,1004904,10296
0000000000000000000m,33911,33871,1009682,33277
0000000000000000000n,40431,40391,1014313,20885
0000000000000000000g,2860,2820,1001293,32375
0000000000000000000b,45567,45527,1012656,34516
0000000000000000000q,17244,17204,1005188,34385
0000000000000000000u,4871,4831,1015234,20921
00000000000000000008,14237,14197,1015447,26637
0000000000000000000h,35612,35572,1014515,22471
0000000000000000000i,8206,8166,1012284,24036
0000000000000000000p,19318,19278,1007897,16538
0000000000000000000d,27434,27394,1010776,2076
0000000000000000000v,29190,29150,1007473,2377
0000000000000000000f,54130,54090,1008171,2452
00000000000000000004,31772,31732,1013117,1931
0000000000000000000s,10973,10933,1002382,8377
00000000000000000009,45748,45708,1010813,27174
00000000000000000002,48246,48206,1004180,6230
0000000000000000000e,51534,51494,1011289,7615
0000000000000000000t,4188,4148,1011464,11095
00000000000000000001,3826,3786,1012253,29823
00000000000000000007,16225,16185,1004604,16950
0000000000000000000o,16693,16653,1013894,1777
0000000000000000000k,29946,29906,1005245,30022
0000000000000000000c,37076,37036,1000404,13871
0000000000000000000r,11277,11237,1000585,16875
0000000000000000000a,19313,19273,1000351,15152
00000000000000000006,33156,33116,1014884,12377
00000000000000000005,13872,13832,1001579,24884
00000000000000000003,47285,47245,1011221,21748
0000000000000000000l,32988,32948,1015160,11664
0000000000000000000j,8827,8787,1000564,22604
0000000000000000000w,26431,26391,1005968,8393
0000000000000000000m,16199,16159,1002457,31046
0000000000000000000n,10401,10361,1001004,12907
0000000000000000000g,7327,7287,1015514,23401
0000000000000000000b,43107,43067,1010809,15052
0000000000000000000q,21942,21902,1015459,19464
0000000000000000000u,165,125,1004097,10147
00000000000000000008,30290,30250,1005589,31082
0000000000000000000h,20321,20281,1008552,21619
0000000000000000000i,7895,7855,1009330,31642
0000000000000000000p,893,853,1010482,26498
0000000000000000000d,6460,6420,1002084,12324
0000000000000000000v,53635,53595,1004072,21085
0000000000000000000f,43462,43422,1006893,2417
00000000000000000004,7849,7809,1010981,20134
0000000000000000000s,12597,12557,1013431,13183
00000000000000000009,38744,38704,1003917,26052
00000000000000000002,20127,20087,1009121,4395
0000000000000000000e,39819,39779,1006975,16174
0000000000000000000t,26270,26230,1013085,13991
00000000000000000001,47511,47471,1014024,31169
00000000000000000007,8284,8244,1009710,26557
0000000000000000000o,21096,21056,1011352,26602
0000000000000000000k,55161,55121,1005043,15620
0000000000000000000c,38923,38883,1010200,21532
0000000000000000000r,9444,9404,1002573,10588
0000000000000000000a,19375,19335,1015228,1330
00000000000000000006,1011,971,1000837,21851
00000000000000000005,35016,34976,1002307,8307
00000000000000000003,3900,3860,1010937,10234
0000000000000000000l,34133,34093,1007081,25997
0000000000000000000j,50300,50260,1013310,17603
0000000000000000000w,38381,38341,1004895,22140
0000000000000000000m,35005,34965,1003619,12462
0000000000000000000n,28872,28832,1011170,15714
0000000000000000000g,15789,15749,1002818,2674
0000000000000000000b,11184,11144,1001016,9703
0000000000000000000q,17678,17638,1011634,29446
0000000000000000000u,20885,20845,1015103,25719
00000000000000000008,44380,44340,1006997,23812
0000000000000000000h,29999,29959,1001454,5327
0000000000000000000i,49902,49862,1007305,26755
0000000000000000000p,30608,30568,1006683,32816
0000000000000000000d,30689,30649,1012910,14096
0000000000000000000v,16876,16836,1006698,11130
0000000000000000000f,53967,53927,1004828,11620
00000000000000000004,49984,49944,1006110,11956
0000000000000000000s,32712,32672,1014488,32389
00000000000000000009,6427,6387,1005750,18099
00000000000000000002,45649,45609,1000031,18039
0000000000000000000e,37088,37048,1007261,4304
0000000000000000000t,14024,13984,1003862,13299
00000000000000000001,34449,34409,1008822,18262
00000000000000000007,26769,26729,1001034,19272
0000000000000000000o,10237,10197,1000650,11550
0000000000000000000k,24801,24761,1006897,25781
0000000000000000000c,47976,47936,1002169,1530
0000000000000000000r,204,164,1000395,232
0000000000000000000a,39728,39688,1011781,18579
00000000000000000006,4248,4208,1000234,27916
00000000000000000005,18346,18306,1015357,23580
00000000000000000003,29960,29920,1005534,6189
0000000000000000000l,40464,40424,1008375,13028
0000000000000000000j,20157,20117,1000225,34656
0000000000000000000w,23715,23675,1005526,33099
0000000000000000000m,29219,29179,1005683,9718
0000000000000000000n,21594,21554,1007820,7879
0000000000000000000g,15952,15912,1004375,6661
0000000000000000000b,50630,50590,1002855,11914
0000000000000000000q,42454,42414,1008691,10565
0000000000000000000u,18265,18225,1002918,10099
00000000000000000008,10358,10318,1005894,20094
0000000000000000000h,45266,45226,1007300,30670
0000000000000000000i,44405,44365,1003456,21918
0000000000000000000p,36049,36009,1004130,3997
0000000000000000000d,13957,13917,1003503,9675
0000000000000000000v,10778,10738,1002298,7959
0000000000000000000f,41408,41368,1007920,26021
00000000000000000004,10796,10756,1009146,762
0000000000000000000s,2914,2874,1013025,24430
00000000000000000009,7927,7887,1014656,11883
00000000000000000002,8637,8597,1014644,22706
0000000000000000000e,24260,24220,1005522,14293
0000000000000000000t,3942,3902,1014499,30142
00000000000000000001,44297,44257,1008412,18067
00000000000000000007,9913,9873,1012307,23894
0000000000000000000o,31103,31063,1005287,7848
0000000000000000000k,17061,17021,1014215,27062
0000000000000000000c,18999,18959,1003725,11424
0000000000000000000r,39389,39349,1001182,15066
0000000000000000000a,22213,22173,1006213,6210
00000000000000000006,657,617,1003260,2775
00000000000000000005,49351,49311,1001615,10225
00000000000000000003,32945,32905,1009422,25141
0000000000000000000l,27729,27689,1014894,13355
0000000000000000000j,577,537,1003999,31814
0000000000000000000w,29991,29951,1007228,7132
0000000000000000000m,47966,47926,1014557,25893
0000000000000000000n,54106,54066,1000088,23068
0000000000000000000g,26278,26238,1010995,13825
0000000000000000000b,49447,49407,1005840,23012
0000000000000000000q,56177,56137,1012997,34340
0000000000000000000u,8683,8643,1015456,10031
00000000000000000008,53509,53469,1002981,27430
0000000000000000000h,39151,39111,1015486,534
0000000000000000000i,27932,27892,1003351,29225
0000000000000000000p,49703,49663,1010677,19426
0000000000000000000d,18126,18086,1010509,951
0000000000000000000v,56771,56731,1002944,30136
0000000000000000000f,28531,28491,1012186,31760
00000000000000000004,42362,42322,1005804,15739
0000000000000000000s,41658,41618,1004285,8724
00000000000000000009,43476,43436,1012021,11145
00000000000000000002,11237,11197,1008754,32391
0000000000000000000e,9633,9593,1013542,15549
0000000000000000000t,21477,21437,1002892,5070
00000000000000000001,11101,11061,1003446,26904
00000000000000000007,57013,56973,1012858,10573
0000000000000000000o,36117,36077,1011302,20388
0000000000000000000k,30413,30373,1011911,33749
